user_input,action,product,quantity
"Nix 10 mug, please.",remove,mug,10
Drop the toaster completely.,remove,toaster,1
Pop 2 water into my shopping bag.,add,water,2
Drop the bananas completely.,remove,bananas,1
Drop the apples completely.,remove,apples,1
Drop the mug completely.,remove,mug,1
"I changed my mind about those blender, take 10 out.",remove,blender,10
Let’s drop 10 plate.,remove,plate,10
I don’t want the jeans anymore.,remove,jeans,1
Pop 1 pan into my shopping bag.,add,pan,1
Include 1 blanket with my order.,add,blanket,1
"Grab me 4 backpack, please.",add,backpack,4
Please pull out 10 knife.,remove,knife,10
I don’t want the jacket anymore.,remove,jacket,1
I'd like to get 10 pan.,add,pan,10
Please pull out 2 pan.,remove,pan,2
Get rid of 2 plate from my order.,remove,plate,2
Let’s add 10 jacket to the basket.,add,jacket,10
Could you toss 4 bottle into the cart?,add,bottle,4
Cancel the socks.,remove,socks,1
"I changed my mind about those mug, take 1 out.",remove,mug,1
Include 2 backpack with my order.,add,backpack,2
Wipe out the backpack.,remove,backpack,1
I need 10 more cheese.,add,cheese,10
"Nix 6 apples, please.",remove,apples,6
I need 6 more bottle.,add,bottle,6
Cancel the blanket.,remove,blanket,1
Please pull out 2 socks.,remove,socks,2
Drop the jacket completely.,remove,jacket,1
I'd like to get 2 pillow.,add,pillow,2
I'd like to get 3 bananas.,add,bananas,3
Throw in 5 scarf for me.,add,scarf,5
"Nix 5 chocolate, please.",remove,chocolate,5
Cancel the bread.,remove,bread,1
Cancel the blender.,remove,blender,1
I don’t need 10 bananas anymore.,remove,bananas,10
Let’s drop 5 socks.,remove,socks,5
"Nix 2 scarf, please.",remove,scarf,2
I want the sweater gone.,remove,sweater,1
Get rid of 2 chocolate from my order.,remove,chocolate,2
I'd like to get 1 bottle.,add,bottle,1
I want the knife gone.,remove,knife,1
"Nix 3 pan, please.",remove,pan,3
Cancel the mug.,remove,mug,1
Remove 10 scarf from the basket.,remove,scarf,10
I'd like to get 1 apples.,add,apples,1
"I changed my mind about those socks, take 3 out.",remove,socks,3
Can you take out 1 jacket?,remove,jacket,1
Cancel the mug.,remove,mug,1
Let’s drop 1 knife.,remove,knife,1
Drop the toaster completely.,remove,toaster,1
"I changed my mind about those blanket, take 2 out.",remove,blanket,2
Include 5 cheese with my order.,add,cheese,5
I don’t want the oranges anymore.,remove,oranges,1
Could you toss 10 apples into the cart?,add,apples,10
Let’s drop 5 apples.,remove,apples,5
Throw in 5 bottle for me.,add,bottle,5
Scratch the milk.,remove,milk,1
Please pull out 5 chocolate.,remove,chocolate,5
Get rid of 2 hat from my order.,remove,hat,2
Can you take out 6 lamp?,remove,lamp,6
I'd like to get 2 lamp.,add,lamp,2
Remove 6 milk from the basket.,remove,milk,6
Let’s drop 1 bottle.,remove,bottle,1
Get rid of 5 bananas from my order.,remove,bananas,5
Drop the scarf completely.,remove,scarf,1
Include 3 water with my order.,add,water,3
Include 1 pillow with my order.,add,pillow,1
"I changed my mind about those pan, take 10 out.",remove,pan,10
Could you toss 6 jacket into the cart?,add,jacket,6
Can you take out 5 bottle?,remove,bottle,5
Drop the water completely.,remove,water,1
Forget about the knife.,remove,knife,1
"I changed my mind about those backpack, take 1 out.",remove,backpack,1
Drop the sweater completely.,remove,sweater,1
Drop the oranges completely.,remove,oranges,1
I need 10 more chocolate.,add,chocolate,10
Can you take out 1 t-shirt?,remove,t-shirt,1
Can you take out 4 cheese?,remove,cheese,4
I'd like to get 1 mug.,add,mug,1
I need 6 more apples.,add,apples,6
Wipe out the backpack.,remove,backpack,1
Drop the knife completely.,remove,knife,1
"Nix 6 backpack, please.",remove,backpack,6
Cancel the scarf.,remove,scarf,1
Forget about the yogurt.,remove,yogurt,1
"I changed my mind about those bread, take 10 out.",remove,bread,10
Wipe out the yogurt.,remove,yogurt,1
Can you take out 6 apples?,remove,apples,6
I need 10 more pillow.,add,pillow,10
I don’t need 6 jacket anymore.,remove,jacket,6
Get rid of 6 yogurt from my order.,remove,yogurt,6
I need 4 more bread.,add,bread,4
Please pull out 2 t-shirt.,remove,t-shirt,2
Eliminate the mug from my cart.,remove,mug,1
Drop the socks completely.,remove,socks,1
Let’s add 4 sweater to the basket.,add,sweater,4
I'd like to get 2 blanket.,add,blanket,2
I need 10 more toaster.,add,toaster,10
I don’t want the bread anymore.,remove,bread,1
Remove 2 mug from the basket.,remove,mug,2
Include 3 cheese with my order.,add,cheese,3
Drop the yogurt completely.,remove,yogurt,1
Scratch the knife.,remove,knife,1
Let’s add 2 knife to the basket.,add,knife,2
Please pull out 6 chocolate.,remove,chocolate,6
Please pull out 10 eggs.,remove,eggs,10
I don’t want the pillow anymore.,remove,pillow,1
"Nix 2 pan, please.",remove,pan,2
Could you toss 6 blanket into the cart?,add,blanket,6
"I changed my mind about those shorts, take 3 out.",remove,shorts,3
I'd like to get 4 pillow.,add,pillow,4
Remove 10 pan from the basket.,remove,pan,10
I'd like to get 6 backpack.,add,backpack,6
Include 3 water with my order.,add,water,3
"Grab me 5 jeans, please.",add,jeans,5
Get rid of 3 bottle from my order.,remove,bottle,3
Let’s add 1 bread to the basket.,add,bread,1
Cancel the bread.,remove,bread,1
Forget about the scarf.,remove,scarf,1
Get rid of 5 socks from my order.,remove,socks,5
I'd like to get 2 water.,add,water,2
"Nix 4 milk, please.",remove,milk,4
"I changed my mind about those toaster, take 5 out.",remove,toaster,5
Could you toss 5 pillow into the cart?,add,pillow,5
Scratch the apples.,remove,apples,1
Pop 1 hat into my shopping bag.,add,hat,1
Throw in 2 toaster for me.,add,toaster,2
Pop 5 water into my shopping bag.,add,water,5
I want the apples gone.,remove,apples,1
Forget about the knife.,remove,knife,1
I'd like to get 4 blanket.,add,blanket,4
"Nix 4 mug, please.",remove,mug,4
Throw in 4 bottle for me.,add,bottle,4
Could you toss 10 sweater into the cart?,add,sweater,10
Get rid of 4 shoes from my order.,remove,shoes,4
Pop 1 hat into my shopping bag.,add,hat,1
Forget about the milk.,remove,milk,1
Let’s add 10 jacket to the basket.,add,jacket,10
Include 5 apples with my order.,add,apples,5
Forget about the sweater.,remove,sweater,1
I'd like to get 2 sweater.,add,sweater,2
I'd like to get 10 apples.,add,apples,10
I don’t want the backpack anymore.,remove,backpack,1
I want the pan gone.,remove,pan,1
Scratch the socks.,remove,socks,1
Throw in 3 shoes for me.,add,shoes,3
I'd like to get 4 blanket.,add,blanket,4
"Nix 10 jeans, please.",remove,jeans,10
Eliminate the bottle from my cart.,remove,bottle,1
"Nix 3 sweater, please.",remove,sweater,3
I need 6 more pillow.,add,pillow,6
I want the bread gone.,remove,bread,1
Pop 5 blender into my shopping bag.,add,blender,5
Include 5 pillow with my order.,add,pillow,5
Get rid of 5 hat from my order.,remove,hat,5
Can you take out 4 blender?,remove,blender,4
Drop the shoes completely.,remove,shoes,1
Get rid of 5 shoes from my order.,remove,shoes,5
Let’s drop 4 pan.,remove,pan,4
"Nix 10 cheese, please.",remove,cheese,10
"Grab me 5 oranges, please.",add,oranges,5
Cancel the plate.,remove,plate,1
Scratch the bananas.,remove,bananas,1
I need 3 more lamp.,add,lamp,3
Get rid of 3 jeans from my order.,remove,jeans,3
Eliminate the bread from my cart.,remove,bread,1
Could you toss 4 sweater into the cart?,add,sweater,4
Forget about the t-shirt.,remove,t-shirt,1
Throw in 2 knife for me.,add,knife,2
Could you toss 3 mug into the cart?,add,mug,3
Cancel the pillow.,remove,pillow,1
Throw in 3 chocolate for me.,add,chocolate,3
Pop 6 cheese into my shopping bag.,add,cheese,6
Cancel the bottle.,remove,bottle,1
"Nix 6 toaster, please.",remove,toaster,6
Wipe out the mug.,remove,mug,1
Can you take out 1 bread?,remove,bread,1
Please pull out 1 hat.,remove,hat,1
Include 6 jeans with my order.,add,jeans,6
Scratch the pan.,remove,pan,1
Pop 1 water into my shopping bag.,add,water,1
I don’t need 5 blanket anymore.,remove,blanket,5
"I changed my mind about those jacket, take 10 out.",remove,jacket,10
Wipe out the lamp.,remove,lamp,1
I don’t need 6 t-shirt anymore.,remove,t-shirt,6
Can you take out 1 chocolate?,remove,chocolate,1
Include 5 chocolate with my order.,add,chocolate,5
I don’t want the mug anymore.,remove,mug,1
I don’t need 2 blender anymore.,remove,blender,2
Let’s drop 1 milk.,remove,milk,1
I'd like to get 1 backpack.,add,backpack,1
"Grab me 4 milk, please.",add,milk,4
Pop 3 shoes into my shopping bag.,add,shoes,3
I want the t-shirt gone.,remove,t-shirt,1
Scratch the lamp.,remove,lamp,1
Can you take out 3 eggs?,remove,eggs,3
Include 4 water with my order.,add,water,4
Pop 10 knife into my shopping bag.,add,knife,10
I need 2 more backpack.,add,backpack,2
Could you toss 6 lamp into the cart?,add,lamp,6
Throw in 6 oranges for me.,add,oranges,6
"Grab me 3 jacket, please.",add,jacket,3
Remove 2 sweater from the basket.,remove,sweater,2
Pop 6 jacket into my shopping bag.,add,jacket,6
Could you toss 6 water into the cart?,add,water,6
"Nix 4 shorts, please.",remove,shorts,4
Scratch the backpack.,remove,backpack,1
"Nix 10 bread, please.",remove,bread,10
I'd like to get 6 milk.,add,milk,6
Cancel the backpack.,remove,backpack,1
Throw in 4 lamp for me.,add,lamp,4
I don’t want the cheese anymore.,remove,cheese,1
Forget about the blender.,remove,blender,1
Remove 3 eggs from the basket.,remove,eggs,3
I want the shoes gone.,remove,shoes,1
I'd like to get 3 bread.,add,bread,3
I need 2 more blanket.,add,blanket,2
Drop the oranges completely.,remove,oranges,1
Drop the shorts completely.,remove,shorts,1
Forget about the pillow.,remove,pillow,1
"Grab me 10 pan, please.",add,pan,10
"I changed my mind about those yogurt, take 3 out.",remove,yogurt,3
Forget about the jacket.,remove,jacket,1
Get rid of 5 jacket from my order.,remove,jacket,5
Drop the jeans completely.,remove,jeans,1
I need 4 more pillow.,add,pillow,4
Cancel the oranges.,remove,oranges,1
Let’s drop 5 jeans.,remove,jeans,5
Cancel the shoes.,remove,shoes,1
Cancel the cheese.,remove,cheese,1
Cancel the knife.,remove,knife,1
Drop the bananas completely.,remove,bananas,1
I don’t want the milk anymore.,remove,milk,1
Eliminate the lamp from my cart.,remove,lamp,1
Pop 1 cheese into my shopping bag.,add,cheese,1
Scratch the shoes.,remove,shoes,1
I don’t need 1 backpack anymore.,remove,backpack,1
Include 10 pan with my order.,add,pan,10
Eliminate the pan from my cart.,remove,pan,1
I don’t need 3 oranges anymore.,remove,oranges,3
Drop the oranges completely.,remove,oranges,1
Could you toss 5 scarf into the cart?,add,scarf,5
I want the socks gone.,remove,socks,1
"Grab me 6 backpack, please.",add,backpack,6
"I changed my mind about those mug, take 1 out.",remove,mug,1
Please pull out 5 pan.,remove,pan,5
I don’t want the eggs anymore.,remove,eggs,1
Please pull out 10 apples.,remove,apples,10
Let’s drop 1 milk.,remove,milk,1
I need 1 more plate.,add,plate,1
Include 3 mug with my order.,add,mug,3
Drop the mug completely.,remove,mug,1
Include 1 jacket with my order.,add,jacket,1
Let’s add 6 bananas to the basket.,add,bananas,6
Wipe out the shorts.,remove,shorts,1
Pop 2 bottle into my shopping bag.,add,bottle,2
Include 3 cheese with my order.,add,cheese,3
Drop the blanket completely.,remove,blanket,1
Get rid of 4 socks from my order.,remove,socks,4
Scratch the milk.,remove,milk,1
Throw in 5 blanket for me.,add,blanket,5
Please pull out 6 plate.,remove,plate,6
Could you toss 6 blender into the cart?,add,blender,6
Include 5 mug with my order.,add,mug,5
Forget about the scarf.,remove,scarf,1
"Grab me 1 eggs, please.",add,eggs,1
Include 6 pan with my order.,add,pan,6
Could you toss 1 pan into the cart?,add,pan,1
Please pull out 5 plate.,remove,plate,5
Let’s add 6 bread to the basket.,add,bread,6
Throw in 3 knife for me.,add,knife,3
Scratch the sweater.,remove,sweater,1
Include 4 bananas with my order.,add,bananas,4
Wipe out the shoes.,remove,shoes,1
Please pull out 5 bread.,remove,bread,5
I want the toaster gone.,remove,toaster,1
Include 5 jacket with my order.,add,jacket,5
Let’s drop 3 cheese.,remove,cheese,3
"I changed my mind about those eggs, take 4 out.",remove,eggs,4
I don’t want the cheese anymore.,remove,cheese,1
Pop 4 toaster into my shopping bag.,add,toaster,4
Remove 3 socks from the basket.,remove,socks,3
Let’s drop 2 plate.,remove,plate,2
Could you toss 4 knife into the cart?,add,knife,4
Let’s drop 10 lamp.,remove,lamp,10
"I changed my mind about those blender, take 6 out.",remove,blender,6
Get rid of 10 yogurt from my order.,remove,yogurt,10
"Grab me 10 mug, please.",add,mug,10
Can you take out 3 mug?,remove,mug,3
Can you take out 2 bread?,remove,bread,2
I want the bottle gone.,remove,bottle,1
Scratch the scarf.,remove,scarf,1
Throw in 3 sweater for me.,add,sweater,3
I don’t want the toaster anymore.,remove,toaster,1
"Nix 1 blender, please.",remove,blender,1
Get rid of 4 sweater from my order.,remove,sweater,4
Remove 2 bananas from the basket.,remove,bananas,2
Forget about the blanket.,remove,blanket,1
I don’t want the plate anymore.,remove,plate,1
Remove 10 bottle from the basket.,remove,bottle,10
I want the yogurt gone.,remove,yogurt,1
I'd like to get 6 chocolate.,add,chocolate,6
Forget about the chocolate.,remove,chocolate,1
Scratch the blanket.,remove,blanket,1
Scratch the cheese.,remove,cheese,1
Throw in 3 apples for me.,add,apples,3
"Nix 4 blanket, please.",remove,blanket,4
Get rid of 10 mug from my order.,remove,mug,10
Get rid of 6 bread from my order.,remove,bread,6
Wipe out the eggs.,remove,eggs,1
Scratch the apples.,remove,apples,1
Eliminate the blanket from my cart.,remove,blanket,1
"I changed my mind about those pan, take 3 out.",remove,pan,3
Pop 2 shoes into my shopping bag.,add,shoes,2
"Grab me 3 t-shirt, please.",add,t-shirt,3
"Nix 4 toaster, please.",remove,toaster,4
Get rid of 2 bottle from my order.,remove,bottle,2
I don’t want the oranges anymore.,remove,oranges,1
Eliminate the lamp from my cart.,remove,lamp,1
Forget about the oranges.,remove,oranges,1
Could you toss 2 pan into the cart?,add,pan,2
Forget about the shoes.,remove,shoes,1
Wipe out the scarf.,remove,scarf,1
Let’s add 2 shoes to the basket.,add,shoes,2
Wipe out the shoes.,remove,shoes,1
I'd like to get 6 mug.,add,mug,6
Let’s drop 1 blender.,remove,blender,1
Pop 4 socks into my shopping bag.,add,socks,4
I want the scarf gone.,remove,scarf,1
Forget about the water.,remove,water,1
Could you toss 2 mug into the cart?,add,mug,2
"Grab me 6 backpack, please.",add,backpack,6
Could you toss 6 lamp into the cart?,add,lamp,6
Eliminate the apples from my cart.,remove,apples,1
Drop the eggs completely.,remove,eggs,1
I want the oranges gone.,remove,oranges,1
I want the pan gone.,remove,pan,1
Please pull out 5 socks.,remove,socks,5
I want the toaster gone.,remove,toaster,1
Include 5 scarf with my order.,add,scarf,5
Let’s add 6 bananas to the basket.,add,bananas,6
Please pull out 3 sweater.,remove,sweater,3
Forget about the blanket.,remove,blanket,1
Pop 1 knife into my shopping bag.,add,knife,1
I'd like to get 1 blanket.,add,blanket,1
"I changed my mind about those blanket, take 5 out.",remove,blanket,5
Let’s drop 4 knife.,remove,knife,4
"Grab me 5 yogurt, please.",add,yogurt,5
I don’t need 2 pillow anymore.,remove,pillow,2
Cancel the cheese.,remove,cheese,1
Remove 5 jacket from the basket.,remove,jacket,5
Eliminate the jacket from my cart.,remove,jacket,1
Let’s add 10 pillow to the basket.,add,pillow,10
"Nix 1 pan, please.",remove,pan,1
Get rid of 3 plate from my order.,remove,plate,3
Get rid of 2 cheese from my order.,remove,cheese,2
Let’s add 1 sweater to the basket.,add,sweater,1
Remove 3 jeans from the basket.,remove,jeans,3
"I changed my mind about those plate, take 1 out.",remove,plate,1
